date,pnl,daily_pnl,state,acct_pnl,actual_balance,bankroll,pa_days,pa_wins,payout_num,eval_days,tag
2016-07-26,704,704,eval,704.0,704.0,-280,0,0,0,5,eval_trade
2016-08-02,-420,-420,eval,284.0,284.0,-280,0,0,0,12,eval_trade
2016-08-03,704,704,eval,988.0,988.0,-280,0,0,0,13,eval_trade
2016-08-04,704,704,pa,0.0,25000.0,-385,0,0,0,0,passed_eval
2016-08-18,-420,-420,pa,-420.0,24580.0,-385,1,0,0,0,pa_trade
2016-08-24,-420,-420,pa,-840.0,24160.0,-385,2,0,0,0,pa_trade
2016-08-29,-420,-420,pa,-1260.0,23740.0,-385,3,0,0,0,pa_trade
2016-08-30,-420,0,resetting,0.0,0.0,-425,0,0,0,0,"pa_failed_trailing_dd (PnL: $-1680, threshold: $-1500)"
2016-08-31,704,704,eval,704.0,704.0,-425,0,0,0,1,eval_trade
2016-09-13,-420,-420,eval,284.0,284.0,-425,0,0,0,14,eval_trade
2016-09-26,-420,-420,eval,-136.0,-136.0,-425,0,0,0,27,eval_trade
2016-09-28,-420,-420,eval,-556.0,-556.0,-425,0,0,0,29,eval_trade
2016-09-29,-420,0,resetting,0.0,0.0,-465,0,0,0,0,eval_failed_trailing_dd
2016-10-03,-420,-420,eval,-420.0,-420.0,-465,0,0,0,4,eval_trade
2016-10-04,-420,-420,eval,-840.0,-840.0,-465,0,0,0,5,eval_trade
2016-10-05,-420,-420,eval,-1260.0,-1260.0,-465,0,0,0,6,eval_trade
2016-10-06,-420,0,resetting,0.0,0.0,-505,0,0,0,0,eval_failed_trailing_dd
2016-10-10,-420,-420,eval,-420.0,-420.0,-505,0,0,0,4,eval_trade
2016-10-17,704,704,eval,284.0,284.0,-505,0,0,0,11,eval_trade
2016-10-19,-420,-420,eval,-136.0,-136.0,-505,0,0,0,13,eval_trade
2016-10-25,704,704,eval,568.0,568.0,-505,0,0,0,19,eval_trade
2016-10-31,704,704,eval,1272.0,1272.0,-505,0,0,0,25,eval_trade
2016-11-08,-420,-420,resetting,0.0,0.0,-545,0,0,0,0,eval_expired_30days
2016-11-09,-420,-420,eval,-420.0,-420.0,-545,0,0,0,1,eval_trade
2016-11-10,-420,-420,eval,-840.0,-840.0,-545,0,0,0,2,eval_trade
2016-11-16,704,704,eval,-136.0,-136.0,-545,0,0,0,8,eval_trade
2016-11-21,-420,-420,eval,-556.0,-556.0,-545,0,0,0,13,eval_trade
2016-11-23,-420,-420,eval,-976.0,-976.0,-545,0,0,0,15,eval_trade
2016-11-24,-420,-420,eval,-1396.0,-1396.0,-545,0,0,0,16,eval_trade
